REGION,STATE,CITY,POPULATION
Pacific,California,"Arcadia, CA",58799
South,Florida,"Margate, FL",58430
Midwest,Iowa,"Dubuque, IA",58276
Midwest,Illinois,"Des Plaines, IL",58193
Pacific,California,"Santee, CA",58113
Pacific,Oregon,"Corvallis, OR",57961
Midwest,Indiana,"Kokomo, IN",57836
Mountain,Wyoming,"Casper, WY",57814
Northeast,Massachusetts,"Medford, MA",57797
Pacific,California,"Gilroy, CA",57664
South,Tennessee,"Hendersonville, TN",57517
Midwest,Indiana,"Greenwood, IN",57375
South,Oklahoma,"Midwest City, OK",57308
Midwest,Missouri,"St. Peters, MO",57178
Northeast,Massachusetts,"Taunton, MA",57139
Northeast,New Jersey,"New Brunswick, NJ",57073
Midwest,North Dakota,"Grand Forks, ND",57056
South,Florida,"Sarasota, FL",56994
South,Georgia,"Smyrna, GA",56685
Pacific,California,"Diamond Bar, CA",56665
Northeast,Massachusetts,"Weymouth Town, MA",56664
South,Florida,"Bradenton, FL",56508
Pacific,California,"Hanford, CA",56499
Pacific,California,"Fountain Valley, CA",56313
Pacific,Washington,"Richland, WA",56243
Pacific,Washington,"Shoreline, WA",56189
South,Florida,"Bonita Springs, FL",56088
South,Georgia,"Valdosta, GA",56085
Pacific,California,"Novato, CA",55980
Mountain,Colorado,"Commerce City, CO",55923
Midwest,Michigan,"Dearborn Heights, MI",55758
Midwest,Illinois,"Berwyn, IL",55550
Northeast,Massachusetts,"Chicopee, MA",55515
South,Texas,"Port Arthur, TX",55498
Mountain,Arizona,"Casa Grande, AZ",55477
Pacific,California,"Highland, CA",55342
Mountain,Idaho,"Pocatello, ID",55193
Midwest,Ohio,"Kettering, OH",55175
South,Texas,"Euless, TX",55174
Northeast,New Jersey,"Hoboken, NJ",55131
Midwest,Indiana,"Anderson, IN",55076
South,Florida,"Palm Beach Gardens, FL",55036
Midwest,Missouri,"Blue Springs, MO",54945
Pacific,California,"Paramount, CA",54909
Northeast,Connecticut,"West Haven, CT",54843
Midwest,Kansas,"Manhattan, KS",54832
Pacific,California,"Colton, CA",54828
Mountain,Nevada,"Carson City, NV",54745
Mountain,Idaho,"Caldwell, ID",54660
Pacific,California,"Cathedral City, CA",54596
Pacific,California,"Rosemead, CA",54554
South,North Carolina,"Rocky Mount, NC",54523
South,Georgia,"Stonecrest, GA",54471
Mountain,Arizona,"Lake Havasu City, AZ",54411
South,Alabama,"Decatur, AL",54405
South,Virginia,"Harrisonburg, VA",54215
Pacific,California,"Watsonville, CA",54098
South,Mississippi,"Southaven, MS",54031
Northeast,Massachusetts,"Revere, MA",53993
South,Texas,"Grapevine, TX",53982
Midwest,Ohio,"Elyria, OH",53883
Pacific,California,"Yucaipa, CA",53683
South,Texas,"DeSoto, TX",53568
Midwest,Kansas,"Lenexa, KS",53553
South,Georgia,"Brookhaven, GA",53518
Pacific,California,"West Sacramento, CA",53512
Pacific,Oregon,"Albany, OR",53503
Midwest,Nebraska,"Bellevue, NE",53424
South,Tennessee,"Kingsport, TN",53374
Midwest,Illinois,"Wheaton, IL",53373
Pacific,Oregon,"Tigard, OR",53148
Pacific,California,"Delano, CA",53138
Midwest,Minnesota,"Minnetonka, MN",53085
South,North Carolina,"Burlington, NC",53077
Northeast,Massachusetts,"Peabody, MA",52987
Pacific,California,"Palm Desert, CA",52932
South,Florida,"Pinellas Park, FL",52854
Northeast,New Jersey,"Perth Amboy, NJ",52823
South,Florida,"Pensacola, FL",52590
Midwest,Indiana,"Elkhart, IN",52558
Pacific,California,"Glendora, CA",52445
Midwest,Minnesota,"Apple Valley, MN",52435
Midwest,Missouri,"Joplin, MO",52288
Pacific,California,"Placentia, CA",52157
Midwest,Minnesota,"Edina, MN",51958
Midwest,Wisconsin,"La Crosse, WI",51834
Midwest,Michigan,"Kentwood, MI",51747
Pacific,California,"Aliso Viejo, CA",51671
Pacific,Washington,"Burien, WA",51671
Pacific,Washington,"Olympia, WA",51609
South,Florida,"Apopka, FL",51564
Midwest,Missouri,"Florissant, MO",51443
Midwest,Nebraska,"Grand Island, NE",51390
Northeast,New Jersey,"Plainfield, NJ",51327
Midwest,Michigan,"Battle Creek, MI",51286
South,Florida,"St. Cloud, FL",51282
Mountain,Utah,"Logan, UT",51115
South,Florida,"Coral Gables, FL",51095
Pacific,California,"Cerritos, CA",51020
Mountain,Idaho,"Coeur d'Alene, ID",50665
South,Texas,"Galveston, TX",50497
Northeast,Massachusetts,"Methuen Town, MA",50259
Midwest,Ohio,"Lakewood, OH",50249
South,Oklahoma,"Enid, OK",50122
Pacific,California,"Poway, CA",50041
Pacific,California,"Azusa, CA",49864
South,Oklahoma,"Stillwater, OK",49829
South,Texas,"Wylie, TX",49826
Pacific,Washington,"Lacey, WA",49748
South,Georgia,"Dunwoody, GA",49609
Northeast,New York,"Troy, NY",49565
South,Texas,"Bedford, TX",49486
Midwest,Ohio,"Newark, OH",49423
South,North Carolina,"Wilson, NC",49348
South,Arkansas,"Bentonville, AR",49298
Mountain,Utah,"Murray, UT",49295
Midwest,Ohio,"Cuyahoga Falls, OH",49247
South,Texas,"Leander, TX",49234
Mountain,Idaho,"Twin Falls, ID",49202
Northeast,Pennsylvania,"Harrisburg, PA",49192
Midwest,Indiana,"Mishawaka, IN",49177
Pacific,California,"La Mirada, CA",49095
Pacific,California,"Cypress, CA",49064
Midwest,Minnesota,"St. Louis Park, MN",49029
South,Alabama,"Madison, AL",48861
Midwest,Michigan,"East Lansing, MI",48844
Midwest,Ohio,"Middletown, OH",48823
Midwest,Michigan,"Portage, MI",48816
South,North Carolina,"Kannapolis, NC",48806
Pacific,California,"Rancho Santa Margarita, CA",48793
South,Texas,"Cedar Hill, TX",48710
Midwest,Indiana,"Lawrence, IN",48704
Pacific,California,"Ceres, CA",48697
Midwest,Michigan,"Saginaw, MI",48677
South,Texas,"Texas City, TX",48558
Pacific,California,"Covina, CA",48462
Northeast,New York,"Niagara Falls, NY",48460
South,Louisiana,"Monroe, LA",48371
Midwest,Wisconsin,"Sheboygan, WI",48329
Midwest,Wisconsin,"Wauwatosa, WI",48277
Pacific,California,"San Jacinto, CA",48254
Pacific,California,"Palm Springs, CA",48142
South,Virginia,"Charlottesville, VA",48019
Mountain,Arizona,"Maricopa, AZ",48007
South,West Virginia,"Charleston, WV",47929
Midwest,North Dakota,"Minot, ND",47822
Mountain,New Mexico,"Roswell, NM",47775
Mountain,Colorado,"Littleton, CO",47734
Mountain,Utah,"Draper, UT",47710
Pacific,California,"Lincoln, CA",47674
Midwest,Ohio,"Dublin, OH",47619
Northeast,Rhode Island,"East Providence, RI",47600
Midwest,Missouri,"Chesterfield, MO",47588
Pacific,California,"San Luis Obispo, CA",47541
Pacific,California,"Newark, CA",47531
Midwest,Michigan,"Roseville, MI",47501
Midwest,Indiana,"Jeffersonville, IN",47383
South,Louisiana,"Alexandria, LA",47334
South,Texas,"Keller, TX",47266
Midwest,Ohio,"Euclid, OH",47201
Midwest,Indiana,"Columbus, IN",47143
Midwest,Ohio,"Mentor, OH",47121
South,West Virginia,"Huntington, WV",47079
Midwest,Kansas,"Salina, KS",46994
Pacific,California,"Beaumont, CA",46967
Midwest,Ohio,"Beavercreek, OH",46948
Midwest,Illinois,"Elmhurst, IL",46662
Mountain,Montana,"Bozeman, MT",46596
South,Texas,"Little Elm, TX",46548
Northeast,Connecticut,"Middletown, CT",46478
South,Florida,"Ocoee, FL",46402
South,Mississippi,"Hattiesburg, MS",46377
Northeast,Massachusetts,"Everett, MA",46324
Midwest,Indiana,"West Lafayette, IN",46269
South,Florida,"Titusville, FL",46263
Midwest,Ohio,"Mansfield, OH",46160
South,Texas,"Burleson, TX",46145
South,Mississippi,"Biloxi, MS",45908
South,Florida,"Fort Pierce, FL",45581
Pacific,Washington,"Bothell, WA",45533
Mountain,New Mexico,"Farmington, NM",45450
Pacific,California,"Coachella, CA",45443
